"API URL","API მისამართი"
"Accept payments via Bank of Georgia Payments API.","მიიღეთ გადახდები საქართველოს ბანკის გადახდების API-ის გამოყენებით."
"Add Receiver","მიმღების დამატება"
"Allowed Payment Methods","დაშვებული გადახდის მეთოდები"
"Amount","თანხა"
"Amount Type","თანხის ტიპი"
"An error occurred processing your payment. Please contact support.","გადახდის დამუშავებისას მოხდა შეცდომა. გთხოვთ დაუკავშირდეთ მხარდაჭერას."
"An error occurred while initiating payment. Please try again.","გადახდის ინიციალიზაციისას მოხდა შეცდომა. გთხოვთ სცადოთ ხელახლა."
"Apple Pay","Apple Pay"
"Auto-Settle After Approval","ავტომატური ანგარიშსწორება დამტკიცების შემდეგ"
"Automatic Capture (auto-invoice)","ავტომატური თანხის ჩამოჭრა (ავტო-ინვოისი)"
"Automatically distribute funds to receivers as soon as the payment is approved.","ავტომატურად გაანაწილეთ თანხა მიმღებებზე გადახდის დამტკიცებისთანავე."
"BOG Loyalty","BOG ლოიალობა"
"BOG Order ID","BOG შეკვეთის ID"
"BOG P2P","BOG P2P"
"BOG Payments (Bank of Georgia)","BOG გადახდები (საქართველოს ბანკი)"
"BOG Payments API credentials are not configured. Please set Client ID and Client Secret.","BOG გადახდების API-ის კრედენციალები არ არის კონფიგურირებული. გთხოვთ დააყენოთ კლიენტის ID და კლიენტის საიდუმლო."
"BOG Payments API returned an error. HTTP status: %1","BOG გადახდების API-მ დააბრუნა შეცდომა. HTTP სტატუსი: %1"
"BOG Payments authentication failed. HTTP status: %1","BOG გადახდების ავთენტიფიკაცია ჩავარდა. HTTP სტატუსი: %1"
"BOG Status","BOG სტატუსი"
"BOG capture API returned HTTP %1","BOG-ის თანხის ჩამოჭრის API-მ დააბრუნა HTTP %1"
"BOG payment status: %1 | Order ID: %2 | Card: %3","BOG გადახდის სტატუსი: %1 | შეკვეთის ID: %2 | ბარათი: %3"
"BOG status API returned HTTP %1","BOG-ის სტატუსის API-მ დააბრუნა HTTP %1"
"Capture Payment","თანხის ჩამოჭრა"
"Capture Status","ჩამოჭრის სტატუსი"
"Capture failed: %1","თანხის ჩამოჭრა ვერ მოხერხდა: %1"
"Capture for order %1","თანხის ჩამოჭრა შეკვეთისთვის %1"
"Card","ბარათი"
"Card Number","ბარათის ნომერი"
"Card Type","ბარათის ტიპი"
"Check BOG Status","BOG სტატუსის შემოწმება"
"Client ID","კლიენტის ID"
"Client Secret","კლიენტის საიდუმლო"
"Dark","მუქი"
"Debug","დებაგი"
"Description","აღწერა"
"Details URL","დეტალების მისამართი"
"Enable Split Payments","გაყოფილი გადახდების ჩართვა"
"Enabled","ჩართულია"
"Environment","გარემო"
"Fixed Amount","ფიქსირებული თანხა"
"Funds held by BOG (callback). Order ID: %1. Use ""Capture Payment"" to charge.","თანხა დაბლოკილია BOG-ის მიერ (უკუკავშირი). შეკვეთის ID: %1. გამოიყენეთ ""თანხის ჩამოჭრა"" ჩასარიცხად."
"Funds held by BOG (confirmed). Order ID: %1. Use ""Capture Payment"" to charge.","თანხა დაბლოკილია BOG-ის მიერ (დადასტურებული). შეკვეთის ID: %1. გამოიყენეთ ""თანხის ჩამოჭრა"" ჩასარიცხად."
"Funds held by BOG (manual status check). Order ID: %1. Use ""Capture Payment"" to charge.","თანხა დაბლოკილია BOG-ის მიერ (სტატუსის ხელით შემოწმება). შეკვეთის ID: %1. გამოიყენეთ ""თანხის ჩამოჭრა"" ჩასარიცხად."
"Funds held by BOG. Order ID: %1. Use ""Capture Payment"" to charge.","თანხა დაბლოკილია BOG-ის მიერ. შეკვეთის ID: %1. გამოიყენეთ ""თანხის ჩამოჭრა"" ჩასარიცხად."
"Google Pay","Google Pay"
